OrbitalSpeed;SurfaceSpeed;TerminalVelocity;Altitude;Mass
1787.3704736573802;1780.0013125965506;276959.21875;67444.87125728419;7458.0830078125
1779.33988566359;1771.99540927951;875079.3125;69256.04111990542;7458.0830078125
1771.509442239599;1764.1894572184428;inf;71023.81686778879;7458.0830078125
1763.565015756015;1756.2703055442382;inf;72818.94626683567;7458.0830078125
1755.6628998799374;1748.3937615196717;inf;74606.00035898061;7458.0830078125
1747.8025721937136;1740.559302019998;inf;76385.02176140563;7458.0830078125
1739.9835192904086;1732.7664129392217;inf;78156.05256626336;7458.0830078125
1732.2052364680678;1725.0145889103808;inf;79919.13435048342;7458.0830078125
1724.4672276227998;1717.3033331691151;inf;81674.30817996326;7458.0830078125
1716.769005119577;1709.6321574381927;inf;83421.6146242898;7458.0830078125
1709.1100893546031;1702.000581506213;inf;85161.09375902137;7458.0830078125
1701.4900088172385;1694.4081332585263;inf;86892.78518002632;7458.0830078125
1693.9082998210774;1686.8543484296292;inf;88616.72800637467;7458.0830078125
1686.3645063148201;1679.338770409409;inf;90332.96089037054;7458.0830078125
1678.8581797411578;1671.8609500937332;inf;92041.522023511;7458.0830078125
1671.3888788653576;1664.420445725748;inf;93742.44914686307;7458.0830078125
1663.9561696875674;1657.0168227970134;inf;95435.7795565183;7458.0830078125
1656.5596250838094;1649.6496537069077;inf;97121.55011123349;7458.0830078125
1649.1988249851322;1642.318517904132;inf;98799.79723898962;7458.0830078125
1641.8722742372652;1635.0241471636934;inf;100470.55711622653;7458.0830078125
1634.5817218749864;1627.7638452822819;inf;102133.86562923726;7458.0830078125
1627.3256933861214;1620.5383548001141;inf;103789.75747723889;7458.0830078125
1620.1037946695187;1613.3472812210778;inf;105438.26743640273;7458.0830078125
1612.9156378605585;1606.190236307819;inf;107079.42988231452;7458.0830078125
1605.760841123188;1599.0668378503065;inf;108713.2788010895;7458.0830078125
1598.6390285805028;1591.9767096462658;inf;110339.84779220505;7458.0830078125
1591.5498300961817;1584.9194812194087;inf;111959.17007896653;7458.0830078125
1584.492881214462;1577.8947878215722;inf;113571.27850913059;7458.0830078125
1577.4678232227018;1570.9022704455513;inf;115176.20556125173;7458.0830078125
1570.4743027074355;1563.9415754054403;inf;116773.98335551913;7458.0830078125
1563.6481902653345;1557.1479210974396;inf;118333.52244641108;7458.0830078125
1556.7161042891642;1550.2492240046877;inf;119917.23529926524;7458.0830078125
1549.814533962485;1543.381326726875;inf;121617.2544244139;7458.0830078125
1542.4054811188637;1536.0089061991632;inf;123309.10627404903;7458.0830078125
1535.031120776351;1528.6715082049152;inf;124870.64965459309;7458.0830078125
1528.223724591653;1521.8986809237804;inf;126425.23328042577;7458.0830078125
1521.4454931530715;1515.1553018405225;inf;127972.88683767174;7458.0830078125
1514.6961137986405;1508.4410581790428;inf;129513.63969276485;7458.0830078125
