OrbitalSpeed;SurfaceSpeed;TerminalVelocity;Altitude
2368.6344120687813;2363.8083038384175;inf;80475.25209439488
2360.8994240242364;2356.116670140612;inf;82882.0215915842
2353.2186706108937;2348.4796804626253;inf;85280.94903883094
2345.5914102846477;2340.8965920477726;inf;87672.08911788685
2338.0169156562392;2333.366676324507;inf;90055.4957607406
2330.49447370348;2325.8892190982674;inf;92431.22217452398
2323.023385137635;2318.463519932656;inf;94799.32085181598
2315.60296408726;2311.088891826721;inf;97159.84357579844
2308.2325377987104;2303.764660917551;inf;99512.84144673496
2300.9104490608884;2296.491265816623;inf;101858.3653292756
2293.638039973827;2289.2658603612886;inf;104196.46466008294
2286.413682882563;2282.08890610236;inf;106527.18841598835
2279.2367543397163;2274.959778552666;inf;108850.5850671858
2272.1066423638786;2267.8778647050826;inf;111166.70246395993
2265.0227463384103;2260.8425629378903;inf;113475.58783221163
2257.984476711505;2253.853282708569;inf;115777.28779788595
2250.991254596999;2246.9094441573325;inf;118071.84839533106
2244.0425116550823;2240.0104779822113;inf;120359.31507576501
2237.137689819978;2233.1558251769616;inf;122639.7327246858
2230.2762410984697;2226.3449368209535;inf;124913.14565791038
2223.457627147607;2219.5772736553376;inf;127179.5976445988
2216.6813192189716;2212.8523060336634;inf;129439.13191652484
2209.9467979479587;2206.169513701965;inf;131691.79116612964
2203.25355311387;2199.52838557132;inf;133937.6175671221
2196.6010833440478;2192.928419419403;inf;136176.65278602496
2190.1181625669865;2186.4973475747147;inf;138365.2322957517
2183.5449976644372;2179.9774500615913;inf;140590.9392835811
2177.0111644457093;2173.4972686738547;inf;142809.97629591823
2170.516195097572;2167.056334807307;inf;145022.38303571066
2164.059629738837;2160.654187787375;inf;147228.19874111935
2157.641016285679;2154.290374754865;inf;149427.46218606574
2151.2599102603003;2147.96445046279;inf;151620.21168722853
2144.9158745565073;2141.6759770676863;inf;153806.48511348502
2138.608479480532;2135.4245241316603;inf;155986.31989628088
2132.3373019346036;2129.209668479815;inf;158159.75302545424
2126.101927142908;2123.030993337623;inf;160326.8210900087
2119.901945771317;2116.888089318124;inf;162487.5602378156
2113.73695567865;2110.780553586211;inf;164642.0062124281
2107.6065611940453;2104.707989791542;inf;166790.19435312552
2101.5103731048857;2098.6700080594046;inf;168932.15959475015
2095.4480084290954;2092.6662247549016;inf;171067.93649639923
2089.4190903292324;2086.6962623929267;inf;173197.55921255657
2083.4232479049806;2080.759749453727;inf;175321.0615300577
2077.576728255154;2074.971758176891;inf;177397.01720819983
2071.645317100637;2069.100414828782;inf;179508.4969828733
2065.745910756657;2063.2614482097356;inf;181613.95485695638
2059.878160989164;2057.454509502686;inf;183713.42316401436
2054.0417250751498;2051.679255404193;inf;185806.93388262822
2048.236265552564;2045.935347881463;inf;187894.518651256
2042.461450191555;2040.2224541473377;inf;189976.20876884705
2036.7169517818627;2034.5402464434126;inf;192052.035195807
2031.002448092668;2028.8884019992822;inf;194122.02856507804
2025.3176219406703;2023.2666031129847;inf;196186.21918306046
2019.6621607773093;2017.6745367078736;inf;198244.63704138575
2014.0357567943147;2012.1118944645973;inf;200297.31181239488
2008.438106839033;2006.5783727346004;inf;202344.27285849513
2002.8689122726726;2001.0736723958532;inf;204385.54924418044
1997.3278787672436;1995.5974986369386;inf;206421.1697212609
1991.8147164406757;1990.1495611027326;inf;208451.16275230935
1986.3291396886204;1984.7295737291674;inf;210475.55650924065
1980.8708670273916;1979.337254579544;inf;212494.37886702316
1975.4396210915686;1973.9723258387064;inf;214507.6574259313
1970.0351285444847;1968.6345137410742;inf;216515.41950451105
1964.6571200051558;1963.3235484754628;inf;218517.6921461795
1959.3053299856556;1958.0391641412073;inf;220514.50212007796
1953.979496722634;1952.7810985603292;inf;222505.87592932954
1948.6793622642892;1947.5490933877968;inf;224491.83981732908
1943.4046721902303;1942.342893806335;inf;226472.41976325714
1938.1551758387745;1937.1622487652653;inf;228447.64148867538
1932.930625911196;1932.0069105982634;inf;230417.53046557726
1927.7307787506275;1926.876635275653;inf;232382.11191412236
1922.555393935829;1921.771182020395;inf;234341.4108118097
1917.404234420532;1916.6903134403765;inf;236295.4518879907
1912.2770664348548;1911.6337954105254;inf;238244.25963926234
1907.173659510159;1906.601397132067;inf;240187.85832746443
1902.093786254023;1901.5928908863798;inf;242126.27197336685
1897.0372223255677;1896.6080520149856;inf;244059.52437385137
1892.0037465239843;1891.6466590036152;inf;245987.63910384558
1886.9931406586907;1886.7084933594028;inf;247910.6395111063
1882.1027759670008;1881.8894951869522;inf;249790.99144642358
1877.1368288892838;1876.9966953067765;inf;251703.93152913416
1872.193118529275;1872.1264887180726;inf;253611.8255784969
1867.2714380078964;1867.2786682584153;inf;255514.6960817182
1862.371583241578;1862.4530295774439;inf;257412.56532332348
1857.4933528566023;1857.6493710420796;inf;259305.45537666045
1852.731574866071;1852.961047832454;inf;261156.41732962476
1847.895585126526;1848.2003337616168;inf;263039.5109842167
1843.0806349774607;1843.4610143169075;inf;264917.6900431296
1838.2865333008594;1838.742898153242;inf;266790.9757921328
1833.5130914774898;1834.0457964243958;inf;268659.38931388524
1828.7601232588004;1829.3695226703217;inf;270522.9515109458
1824.0274447927245;1824.7138928137529;inf;272381.683090318
1819.3148745456524;1820.0787251324184;inf;274235.6045779699
1814.6222333724927;1815.4638402841115;inf;276084.73632050294
1809.9493443550946;1810.869061152583;inf;277929.09847354644
1805.296032776887;1806.2942128458526;inf;279768.7110189112
1800.7528016851966;1801.828249417316;inf;281567.66100624145
1796.1377542478415;1797.2923645822736;inf;283397.92575135815
1791.5417765510792;1792.7759023664355;inf;285223.49940526905
1786.9647024425326;1788.2786964615575;inf;287044.4012654675
1782.406367862115;1783.8005826604917;inf;288860.6504563567
1777.8666107513573;1779.3413987595052;inf;290672.26594145154
1773.3452709803003;1774.9009844991679;inf;292479.26651650213
1768.8421904796528;1770.4791816697268;inf;294281.6708067693
1764.4449807575902;1766.1619977031548;inf;296044.2896829153
1759.9776016740966;1761.776593363269;inf;297837.6459177757
1755.5280219358976;1757.4093401897185;inf;299626.460474342
1751.0960909142395;1753.0600874487884;inf;301410.7513644594
1746.681659778871;1748.7286862098217;inf;303190.53644959826
1742.2845815840813;1744.414989434057;inf;304965.83343643276
1737.904710985437;1740.1188516979719;inf;306736.6598877191
1733.54190449604;1735.840129428853;inf;308503.0332126898
1729.1960201893478;1731.5786806303693;inf;310264.97068307886
1724.866917948343;1727.3343651202597;inf;312022.4894233749
1720.5544592287617;1723.1070442913729;inf;313775.60641510587
1716.2585071150177;1718.8965811778555;inf;315524.3385038668
1711.9789263048694;1714.7028404240334;inf;317268.7023967393
1707.7155830864174;1710.5256882774618;inf;319008.7146621152
1703.4683452694894;1706.3649925125037;inf;320744.39173654234
1699.2370821571697;1702.2206223968753;inf;322475.74991529156
1695.021664600168;1698.0924487645404;inf;324202.805366723
1690.82196490979;1693.980343908945;inf;325925.57413251756
1686.637856896939;1689.8841816236502;inf;327644.0721201125
1682.4692157447012;1685.8038370887493;inf;329358.31511221826
1678.3159180978234;1681.7391869484584;inf;331068.3187638738
1674.1778419722752;1677.6901092227322;inf;332774.0986043707
1670.054866740642;1673.6564832979213;inf;334475.67004318547
1665.9468731831626;1669.63818996598;inf;336173.04836601065
1661.8537433552858;1665.6351113131632;inf;337866.24873370875
1657.7753606581923;1661.6471307635884;inf;339555.2861948614
1653.7116097878131;1657.6741330499656;inf;341240.17568105797
1649.6623766959679;1653.7160041660898;inf;342920.93200062076
1645.6275485834694;1649.7726313567887;inf;344597.5698493128
1641.6070139120889;1645.8439031374044;inf;346270.103811353
1637.6790826551153;1642.006319148242;inf;347905.8729714893
1633.6865301809505;1638.1062687140188;inf;349570.32222516544
1629.7079458938376;1634.220537802975;inf;351230.71038958733
1625.743222996637;1630.3490197027488;inf;352887.0516042133
1621.7922558576693;1626.4916088524756;inf;354539.3598995153
1617.854939981725;1622.6482008450478;inf;356187.64920952776
1613.9311719904445;1618.8186923970022;inf;357831.93335414643
1610.020849626703;1615.0029813483202;inf;359472.22604512854
1606.2001553784548;1611.2753848837715;inf;361076.4944394692
1602.316163016761;1607.4867007857742;inf;362708.92256482993
1598.4453178645372;1603.7115159953732;inf;364337.39950707986
1594.5875218975941;1599.949732606242;inf;365961.93858118844
1590.7426781097251;1596.2012537382088;inf;367582.55299836653
1586.910690544618;1592.4659835654754;inf;369199.255872412
