OrbitalSpeed;SurfaceSpeed;TerminalVelocity;Altitude;Mass;Thrust
636.9081763991069;642.3881972680907;inf;301062.7096632633;7458.09033203125;0.0
632.5518645705532;638.1456930990203;inf;301698.85013209004;7458.09033203125;0.0
628.2026413608737;633.9112668588992;inf;302330.48758062976;7458.09033203125;0.0
623.8570504361511;629.6962397380239;inf;302957.6285867678;7457.55859375;0.0
619.5307685868681;625.5602465466053;inf;303580.29800010857;7455.40380859375;0.0
615.1881559017521;621.3535944094785;inf;304198.5121439026;7453.95068359375;0.0
610.7948215231463;617.0715066998391;inf;304812.204334987;7452.5947265625;0.0
606.4021013786686;612.800641706944;inf;305421.3395437561;7451.69189453125;0.0
602.0177499740339;608.545396861413;inf;306025.93009624816;7450.95947265625;0.0
597.6884089720628;604.3417352924863;inf;306626.00919505744;7450.76171875;0.0
593.3914075707045;600.1687940362298;inf;307221.61503756454;7450.65478515625;0.0
589.1176479250437;596.0201466475337;inf;307812.7817405994;7450.57666015625;0.0
584.8352408172703;591.8642400585103;inf;308399.5127843169;7450.5458984375;0.0
579.6180706398087;586.8030331376114;inf;309108.7701405585;7450.50830078125;0.0
548.7717126294488;556.9244830230651;inf;313199.8997485753;7450.50830078125;0.0
506.8756977350684;516.4835375766559;inf;318451.7495806016;7450.50830078125;0.0
465.6111367045505;476.84412049197607;inf;323269.49991987506;7450.50830078125;0.0
424.97698908054;438.04396171058147;inf;327657.6631689556;7450.50830078125;0.0
385.77023638779065;400.8870458835303;inf;331546.65641154;7450.50830078125;0.0
346.4709303265366;364.00141000063104;inf;335095.5921917126;7450.50830078125;0.0
307.96443905431227;328.32226063454925;inf;338225.7234700178;7450.50830078125;0.0
270.4201868401272;294.1327478098929;inf;340939.83623097884;7450.50830078125;0.0
234.13507852811577;261.86774932635603;inf;343240.3237259652;7450.50830078125;0.0
199.63401431117663;232.19054799446457;inf;345129.1983460302;7450.50830078125;0.0
172.13333987236717;209.51563168599654;inf;346423.96050353174;7450.50830078125;0.0
166.67457930772676;205.1464949190108;inf;346658.55584506737;7450.5068359375;0.0
163.72253257381072;202.80448330743204;inf;346782.32187836955;7450.5068359375;0.0
160.81714983388432;200.51437138711654;inf;346902.0027757656;7450.5068359375;0.0
157.9609026811812;198.2778750606972;inf;347017.5995658713;7450.5068359375;0.0
155.15640332142044;196.09674832512587;inf;347129.11324624065;7450.5068359375;0.0
152.40640896008836;193.97278057725518;inf;347236.544775164;7450.5068359375;0.0
149.7138255118029;191.90779334423988;inf;347339.89507786266;7450.5068359375;0.0
147.0817105453898;189.90363661704794;inf;347439.16504242015;7450.5068359375;0.0
144.51327495398644;187.96218428986086;inf;347534.3555254098;7450.5068359375;0.0
142.01188296327334;186.0853293962347;inf;347625.4673407831;7450.5068359375;0.0
139.58116801421974;184.27506244041345;inf;347712.5013449942;7450.50439453125;0.0
137.22466603485003;182.5332045496614;inf;347795.458524895;7450.501953125;0.0
134.9460780241247;180.8615974795392;inf;347874.3392932189;7450.501953125;0.0
132.74945600272213;179.26223065288426;inf;347949.1443160038;7450.501953125;0.0
130.63885719709214;177.73699721118524;inf;348019.8742358454;7450.501953125;0.0
128.6184421905171;176.2877669490781;inf;348086.5296590788;7450.501953125;0.0
126.69245456278408;174.9163773555545;inf;348149.11115879717;7450.501953125;0.0
124.86519611155471;173.62462417774606;inf;348207.6192711438;7450.501953125;0.0
123.14099785896049;172.41425136361454;inf;348262.0544990845;7450.501953125;0.0
121.52418607100398;171.286941139219;inf;348312.4173074919;7450.501953125;0.0
120.01904417327506;170.24430350570108;inf;348358.70812883007;7450.501953125;0.0
118.62977003631364;169.28786604443678;inf;348400.9273601412;7450.501953125;0.0
117.36043012122477;168.41906336389513;inf;348439.075363555;7450.501953125;0.0
116.2361575186051;167.6536551325586;inf;348472.52341464174;7450.501953125;0.0
115.21557844812189;166.96222547129616;inf;348502.60971950996;7450.501953125;0.0
114.32578076218897;166.36205853187644;inf;348528.62566941266;7450.501953125;0.0
